,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
22471,omaha,Observing the first orbits of Echo 2 radar-reflective satellite through a 50 power telescope&#44 I saw a &quot;lesser light&quot; perhaps spherical&#44,us,1/5/2011,1/25/1964 20:30,5 min.,300,41.2586111,-95.9375,sphere,ne
22472,albuquerque,1970 Sighting over Kirtland Airforce base in New Mexico.,us,9/2/2005,12/5/1970 20:00,a few min,120,35.0844444,-106.65055559999999,other,nm
22473,glen rose,Followed by a bright light .,us,9/24/2003,12/5/1973 19:00,20 minutes,1200,34.4555556,-92.7294444,light,ar
22474,presque isle,cigar shaped lights pass over Presque Isle and disappear over airport (when closed),us,1/21/2008,12/5/1974 20:30,2 mins,120,46.6811111,-68.01638890000001,other,me
22475,arkansas (rural),A friend and i were driving on a country road when we saw something very strange.,,2/24/2001,12/5/1979 22:00,20:00 minutes,1200,35.20105,-91.83183299999999,fireball,ar
22827,broadview heights,Saw descending star-shaped object&#44 slow&#44 bright&#44 no trails&#44 no explosion&#44 twice in 15 years.,us,8/11/2004,12/6/1967 03:30,20 seconds,20,41.3138889,-81.6852778,light,oh
22828,davie,I have checked your log report and found that the sighting I reported shortly after December 6&#44 1976&#44 was not filed. I am dismayed but,us,6/20/2005,12/6/1976 05:30,40 minutes,2400,26.0625,-80.2333333,changing,fl
23115,jacksonville,WHILE WALKING ON ATLANTIC BOULEVARD IN JACKSONVILLE I WITNESSED A BOOMERANG SHAPED OBJECT ALMOST COLLIDE WITH A COMMERCIAL AIRLINER,us,1/28/1999,12/7/1975 11:45,3-5 minutes,300,30.3319444,-81.6558333,triangle,fl
23416,glendora,An illuminated Saucer hovers over my back patio. The Object rises beyond a neighboring house to the South. After hovering for five min&#39,us,12/16/1999,1/28/1973 23:38,5-10 mins,600,34.1361111,-117.86444440000001,disk,ca
23417,albuquerque,The night when I saw the disk UFO&#33,us,2/1/2007,12/8/1979 20:30,10-minutes,600,35.0844444,-106.65055559999999,circle,nm
23712,pittsburgh,HBCCUFO CANADIAN REPORT:  I Saw The Kecksberg UFO&#33,us,10/31/2003,12/9/1965 00:00,5 seconds,5,40.4405556,-79.9961111,unknown,pa
23713,fairmont,In 1965 i was 9 years old and me and mt sister saw a fire ball craft tha looked like a acorn shaped craft somewhat like a bell with sim,us,12/12/2011,12/9/1965 16:00,10seconds,10,47.9930556,-122.8647222,other,wa
23714,mantua,an object like an airplane fusilage without wings  flames from it were going up not&#44  i repeat&#44 not trailing the object,us,7/25/2004,12/9/1965 16:30,2minutes,120,39.7938889,-75.1725,cigar,nj
23715,enfield,Charting a UFO and identifying its points of origin.,us,8/12/2008,12/9/1965 16:48,2 minutes,120,41.9761111,-72.59222220000001,circle,ct
23716,enfield,Coincidence with later Sighting in 1982 in Great Falls&#44 Montana that seems to have been totally removed from the publics view.,us,8/12/2008,12/9/1965 16:48,2 minutes,120,41.9761111,-72.59222220000001,circle,ct
23717,enfield,Giant FireBall streams across the evening sky of Enfield Connecticut&#44 was Hartford responsible&#44 was Mark Twain given a final send -off&#33,us,7/5/2008,12/9/1965 16:48,2 minutes,120,41.9761111,-72.59222220000001,fireball,ct
23718,enfield,Possible sighting of the Kecksburg UFO,us,10/30/2006,12/9/1965 17:00,5 minutes,300,41.9761111,-72.59222220000001,fireball,ct
23719,middletown,fireball the size of the house  on 12/29/1965 about 5:00 pm,us,3/19/2009,12/9/1965 17:00,2 min.,120,41.5622222,-72.6511111,fireball,ct
23720,grand island,WE SAW  A PERFECT VIEW OF THE KECKSBURG COMET.,,8/30/2013,12/9/1965 24:00,~5 to 10 seconds,10,43.021628,-78.96573000000001,fireball,ny
23721,newtown square,DEC 1965  NEWTOWN SQUARE PENN   FLAMING BURNING OBJECT   MOVING ACROSS THE SKY VERY LOW AND SLOW,us,7/16/2006,12/9/1965 24:00,1700hrs,6120000,39.9866667,-75.40138890000001,fireball,pa
23722,carpinteria (santa barbara county),witnesses watched 3 large sphere move slowly to the West&#44 hover and then each disappear.,us,6/6/2000,1/29/1968 18:00,10 minutes,600,34.3988889,-119.5175,sphere,ca
23723,ringwood,Triangular aircraft sighted from Virginia to NY State in &#3978,us,4/16/2005,12/9/1978 19:00,3minutes,180,41.1133333,-74.2458333,triangle,nj
24008,dayton,Very large white saucer&#44 chased by B-52 near Wright Patterson Air force base.,us,7/3/2013,1/30/1968 01:00,10 minutes,600,39.7588889,-84.1916667,disk,oh
24009,san diego,Something very large and silent passed overhead - heard but not seen.  ((NUFORC Note:  Possibly the sound of wing vortices.  PD)),us,12/7/2006,1/30/1974 23:00,10 seconds,10,32.7152778,-117.1563889,unknown,ca
24132,on plane wing,a shinny silver disc &#44sitting on the planes wing&#44right side of the plane.,,10/12/2001,1/31/1968 05:00,30 sec.,30,40.705631,-73.978003,disk,ny
24133,ponce (puerto rico),The spaceship was shaped like two spheres attached by a cylinder curiously resembling dumbbells.,us,2/16/1999,1/31/1974 15:00,10  to 15 minutes,900,18.0130556,-66.6144444,sphere,pr
24134,houston,I saw a grey rectangular patch against blue sky&#44 thru binoculars.,us,1/28/1999,1/31/1979 11:00,10 minutes,600,29.7630556,-95.3630556,rectangle,tx
24469,houston,Witnesses saw a bluish-white-light emitting spherical object on the ground a few feet from the edge of a feeder road alongside IH45 So.,us,2/16/1999,1/4/1975 22:40,approx 1 min.,60,29.7630556,-95.3630556,disk,tx
24470,simonstown (south africa),unlike anything  i had ever seen,,8/5/2001,1/4/1976 05:30,3 minutes,180,-34.193765,18.435665,cigar,
24649,candia,I was taking a late night walk on a cold calm January night. I passed between a barn and house following an old tote road used by snowm,us,10/30/2006,1/5/1970 22:00,1 minute,60,43.0777778,-71.27722220000001,light,nh
24650,gering,Fast moving light&#44 darting then hovering in sky; emitted beam of light.,us,4/16/2005,1/5/1972 19:30,2-3 minutes,180,41.8258333,-103.66,light,ne
